url,type,title,date,status_code
https://www.smbbmu.edu.pk/beta/news/downloadFile/1-HEC_Self_Assessment_Manual_1492068343.pdf,pdf,1-hec-self-assessment-manual-1492068343-31aede12.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/2-HEC_Quality_Assurance_Manual_for_Higher_Education_in_Pakistan_1492068343.pdf,pdf,2-hec-quality-assurance-manual-for-higher-education-in-pakistan-1492068343-d51e00dd.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/3-Performance_Evaluation_Standards_for_HEIsGDG_1492068343.pdf,pdf,3-performance-evaluation-standards-for-heisgdg-1492068343-b74f5431.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/4-Plagiarism_Policy_1492068180.pdf,pdf,4-plagiarism-policy-1492068180-bb4ebcff.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/5-Turnitin_Policy_1492068180.pdf,pdf,5-turnitin-policy-1492068180-353f861b.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/6-Standard_Operating_Procedure_1492068180.pdf,pdf,6-standard-operating-procedure-1492068180-5b0101ff.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/7-MPHIL-Phd-Criteria_1492068180.pdf,pdf,7-mphil-phd-criteria-1492068180-93101191.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/8-Notification_1492067968.jpg,image,8-notification-1492067968-0079ab20.jpg,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/9-Little_Book_of_Plagiarism_1492067968.pdf,pdf,9-little-book-of-plagiarism-1492067968-bd76ca87.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/8-Notification_1492067964.jpg,image,8-notification-1492067964-a2a77266.jpg,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/9-Little_Book_of_Plagiarism_1492067964.pdf,pdf,9-little-book-of-plagiarism-1492067964-2137c50a.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-1-Student-Course-Evaluation-Questionnaire_1492070163.pdf,pdf,proforma-1-student-course-evaluation-questionnaire-1492070163-2c673252.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-2-Faculty-Course-Review-Report_1492070163.pdf,pdf,proforma-2-faculty-course-review-report-1492070163-f1d9598d.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-3-Survey-of-Graduating-Students_1492070163.pdf,pdf,proforma-3-survey-of-graduating-students-1492070163-b29c5e4a.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-4-Research-Student-Progress-Review-Form_1492070163.pdf,pdf,proforma-4-research-student-progress-review-form-1492070163-51118a14.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-5-Faculty-Survey_1492070024.pdf,pdf,proforma-5-faculty-survey-1492070024-b15fad87.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-6-Survey-of-Department-Offering-PhD_1492070024.pdf,pdf,proforma-6-survey-of-department-offering-phd-1492070024-9c230f95.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-7-Alumni-Survey_1492070024.pdf,pdf,proforma-7-alumni-survey-1492070024-89c2fc08.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-8-Employer-Survey_1492070024.pdf,pdf,proforma-8-employer-survey-1492070024-72cfe2b7.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-9-Faculty+Resume_1492070024.pdf,pdf,proforma-9-faculty-resume-1492070024-2e3b233a.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Proforma-10-Teacher-Evaluation-Form_1492070024.pdf,pdf,proforma-10-teacher-evaluation-form-1492070024-f5bef4cb.pdf,,200
https://www.smbbmu.edu.pk/beta/dme,page,Introduction,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/CHPE-FORM_17480011360.pdf,pdf,chpe-form-17480011360-71038ab2.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/CHPE+Form_17307923770.pdf,pdf,chpe-form-17307923770-20455493.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Form_17147199670.pdf,pdf,form-17147199670-22e36cb9.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Form_16700505710.pdf,pdf,form-16700505710-b3b9f813.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Notice+of+Workshops_16541080670.pdf,pdf,notice-of-workshops-16541080670-d2fcdc23.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/osce-template_16795973341.pdf,pdf,osce-template-16795973341-9ff80798.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Refund+Claim+form+ok_16029354070.pdf,pdf,refund-claim-form-ok-16029354070-3e016073.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/MBBS-learning-Outcome_16795977050.pdf,pdf,mbbs-learning-outcome-16795977050-78522fbd.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/workshop+registration+form_16043905590.pdf,pdf,workshop-registration-form-16043905590-a2134eb6.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/BDS-Learning-outcomes_16795978090.pdf,pdf,bds-learning-outcomes-16795978090-8bd48dc5.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/BCQ+SUBMISSION+PROFORMA_16144163370.pdf,pdf,bcq-submission-proforma-16144163370-e66370e3.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/DPT-LEARNING-OUTCOMES_16795978820.pdf,pdf,dpt-learning-outcomes-16795978820-4333646c.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Pharmacy-Learning-outcomes_16795978821.pdf,pdf,pharmacy-learning-outcomes-16795978821-71ce3ba8.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/BCON++Learning+Outcome-BSN-+BScN-PostRN_16795979310.pdf,pdf,bcon-learning-outcome-bsn-bscn-postrn-16795979310-5c9e5567.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/ospe-template_16795973340.pdf,pdf,ospe-template-16795973340-94c95f70.pdf,,200
https://www.smbbmu.edu.pk/beta/policies,page,Policies,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/DOC-20250606-WA0019_250606_172809_page-0001_17496365390.jpg,image,doc-20250606-wa0019-250606-172809-page-0001-17496365390-659369bb.jpg,,200
https://smbbmu.edu.pk/policies/diversity-non-diversity-policy,external,,,
https://www.smbbmu.edu.pk/beta/news/downloadFile/allotment-policy.pdf,pdf,allotment-policy-11e350bf.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/SMBBMU+SC+policy_16841259850.pdf,pdf,smbbmu-sc-policy-16841259850-a951cc49.pdf,,200
https://www.smbbmu.edu.pk/beta/financialaids,page,Introduction,,200
https://www.smbbmu.edu.pk/beta/studentResources/index,page,Students Resources,,200
https://www.smbbmu.edu.pk/beta/downloads,page,Downloads,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/SMBBMUL-Form-for-P_15729553181.pdf,pdf,smbbmul-form-for-p-15729553181-810e6021.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/Challan+of+Controller+Postgraduate_15729553180.pdf,pdf,challan-of-controller-postgraduate-15729553180-5ee6692e.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/log-book-medicine.pdf,pdf,log-book-medicine-deb4f111.pdf,,200
https://www.smbbmu.edu.pk/beta/contactus,page,Contact Us,,200
https://www.smbbmu.edu.pk/beta/annualreport,page,Annual Report,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/annual-report-2023-24_17822370580.pdf,pdf,annual-report-2023-24-17822370580-6b3d95f6.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/annual-report-2024-25_17579302060.pdf,pdf,annual-report-2024-25-17579302060-bb44d158.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/annual-report-2023_17497274680.pdf,pdf,annual-report-2023-17497274680-58551a2b.pdf,,200
https://www.smbbmu.edu.pk/beta/affiliated-colleges,page,Affiliated Colleges,,200
https://www.smbbmu.edu.pk/beta/admissions/post-graduate,page,Admissions,,200
https://www.smbbmu.edu.pk/beta/campuses/bibi-aseefa-dental-college-larkana,campus,Introduction,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/pif_17822958851.pdf,pdf,pif-17822958851-f0056819.pdf,,200
https://www.smbbmu.edu.pk/beta/news/downloadFile/ciculum-mds_17822958840.pdf,pdf,ciculum-mds-17822958840-eb79e857.pdf,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490774862.jpg,image,dr-syed-yousif-ali-shah-b13d5d46.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490773022.jpg,image,dr-muhammad-rafique-tagar-142f0f5b.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490773441.jpg,image,dr-saira-baby-76185e91.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782282938.jpeg,image,prof-dr-qaimuddin-shaikh-cab4a6a4.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283811.jpeg,image,dr-aswad-ahmed-79c9b59f.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283826.jpeg,image,dr-asfar-hussain-cf493af2.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283989.jpeg,image,dr-kinza-fatima-5e1ed74f.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283864.jpeg,image,dr-naeem-mustafa-4d20e5f6.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283845.jpeg,image,dr-bharti-kumari-7c1dba0c.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1782283887.jpeg,image,dr-priya-kumari-b9fcae17.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490772576.jpg,image,dr-almas-rahoojo-1e5bae81.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490772537.jpg,image,dr-ali-gul-tunio-6c146945.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490772733.jpg,image,dr-asif-ali-f7e64a78.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490774989.jpg,image,prof-amar-lal-gurbakhshani-6dd956df.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490772611.jpg,image,dr-amit-kumar-cb4c317a.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1488798764.jpg,image,dr-shahid-ali-mirani-52601e76.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490773475.jpg,image,dr-sandeep-kumar-8ef3d147.jpg,,200
https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana,campus,Introduction,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1768935130.jpeg,image,mr-nazeer-ali-5b537c46.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1719214805.jpeg,image,mr-ghulam-abbas-panhwar-9de4d838.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664528.jpg,image,ms-sara-chandio-9fd4c277.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664449.jpg,image,ms-humera-wagan-f13a4251.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1770015628.jpeg,image,mr-aftab-ghouri-e0d274cf.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480663449.png,image,mr-abdul-wahid-bhayo-05b908ea.png,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664493.jpg,image,ms-faiza-jokhio-24c7439f.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480663314.jpg,image,mr-saifullah-soomro-747a6a44.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664404.jpg,image,mr-ali-asghar-9d0403aa.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664309.jpg,image,mr-asif-ali-magsi-358cdc79.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664191.jpg,image,ms-kaneez-fiza-9a8d4b72.jpg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664117.jpg,image,mr-asif-jamali-689ff484.jpg,,200
https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy,campus,Introduction,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1744965081.jpeg,image,dr-waseem-abbas-malhani-2d758daa.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1560969347.jpeg,image,dr-abdul-rauf-khaskheli-50ea4757.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1435217543.png,image,prof-dr-nadeem-baloch-85a78900.png,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1435218025.png,image,mr-ayaz-ali-unar-42b6e712.png,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1698817417.jpeg,image,dr-athar-ali-7b1a4754.jpeg,,200
https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy,campus,Introduction,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688546645.jpeg,image,dr-mukesh-kumar-7b779dde.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541965.jpeg,image,dr-vikash-7401cac4.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541876.jpeg,image,dr-naseebullah-e1e93f05.jpeg,,200
https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541822.jpeg,image,dr-adil-ameer-ali-9474e181.jpeg,,200
