file,original_url,source_page
images/faculty/dr-amit-kumar.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490772611.jpg,https://www.smbbmu.edu.pk/beta/campuses/bibi-aseefa-dental-college-larkana
images/faculty/dr-shahid-ali-mirani.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1488798764.jpg,https://www.smbbmu.edu.pk/beta/campuses/bibi-aseefa-dental-college-larkana
images/faculty/dr-sandeep-kumar.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1490773475.jpg,https://www.smbbmu.edu.pk/beta/campuses/bibi-aseefa-dental-college-larkana
images/faculty/mr-nazeer-ali.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1768935130.jpeg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-ghulam-abbas-panhwar.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1719214805.jpeg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/ms-sara-chandio.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664528.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/ms-humera-wagan.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664449.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-aftab-ghouri.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1770015628.jpeg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-abdul-wahid-bhayo.png,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480663449.png,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/ms-faiza-jokhio.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664493.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-saifullah-soomro.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480663314.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-ali-asghar.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664404.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-asif-ali-magsi.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664309.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/ms-kaneez-fiza.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664191.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/mr-asif-jamali.jpg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1480664117.jpg,https://www.smbbmu.edu.pk/beta/campuses/benazir-college-of-nursing-larkana
images/faculty/dr-waseem-abbas-malhani.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1744965081.jpeg,https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy
images/faculty/dr-abdul-rauf-khaskheli.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1560969347.jpeg,https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy
images/faculty/prof-dr-nadeem-baloch.png,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1435217543.png,https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy
images/faculty/mr-ayaz-ali-unar.png,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1435218025.png,https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy
images/faculty/dr-athar-ali.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1698817417.jpeg,https://www.smbbmu.edu.pk/beta/campuses/department-of-pharmacy
images/faculty/dr-mukesh-kumar.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688546645.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-vikash.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541965.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-naseebullah.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541876.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-adil-ameer-ali.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541822.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-natasha-bhutto.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541983.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-shobha.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688542006.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-sunny-kumar.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541720.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-komal.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541785.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-sonam.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541935.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-shahmeer-khan.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541907.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/dr-fayaz-hussain.jpeg,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1688541760.jpeg,https://www.smbbmu.edu.pk/beta/campuses/institute-of-physiotherapy
images/faculty/introduction-hod.png,https://www.smbbmu.edu.pk/beta/uploads/employees/images/1766837440.png,https://www.smbbmu.edu.pk/beta/campuses/college-of-medical-technology
images/news/1755755246533165260-731608203209229-7036468186271868761-n-thumb.jpg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1755755246533165260_731608203209229_7036468186271868761_n_thumb.jpg,https://www.smbbmu.edu.pk/beta/news/details/flag-hositing-and-plantation-drive-mark-youm-e-azadi-celebrations-at-smbbmu-08-14-2025
images/news/1755755246533421358-731608136542569-552492457768752228-n-thumb.jpg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1755755246533421358_731608136542569_552492457768752228_n_thumb.jpg,https://www.smbbmu.edu.pk/beta/news/details/flag-hositing-and-plantation-drive-mark-youm-e-azadi-celebrations-at-smbbmu-08-14-2025
images/news/1755755246533165260-731608203209229-7036468186271868761-n-thumb-589f41ae.jpg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1755755246533165260_731608203209229_7036468186271868761_n_thumb.jpg,https://www.smbbmu.edu.pk/beta/news/details/flag-hositing-and-plantation-drive-mark-youm-e-azadi-celebrations-at-smbbmu-08-14-2025
images/news/1755755246533421358-731608136542569-552492457768752228-n-thumb-268aefbd.jpg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1755755246533421358_731608136542569_552492457768752228_n_thumb.jpg,https://www.smbbmu.edu.pk/beta/news/details/flag-hositing-and-plantation-drive-mark-youm-e-azadi-celebrations-at-smbbmu-08-14-2025
images/news/17561076221-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/17561076221_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561076152-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/17561076152_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075857-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/17561075857_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075843-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/17561075843_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610757114-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/175610757114_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610757019-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/175610757019_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075486-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/17561075486_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610754715-thumb.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/175610754715_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561076221-thumb-d876a7c4.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/17561076221_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561076152-thumb-ec4d241b.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/17561076152_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075857-thumb-2af07805.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/17561075857_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075843-thumb-647344a4.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/17561075843_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610757114-thumb-7e9d838b.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/175610757114_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610757019-thumb-66f5f760.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/175610757019_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/17561075486-thumb-7b299d36.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/17561075486_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/175610754715-thumb-4cc9086f.png,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/175610754715_thumb.png,https://www.smbbmu.edu.pk/beta/news/details/free-mega-medical-camp-in-celebration-of-jashn-e-azadi-08-07-2025
images/news/1722932204event10-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722932204event10_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932186event8-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722932186event8_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932134event9-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722932134event9_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932070event7-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722932070event7_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932066event6-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722932066event6_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722931964event5-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722931964event5_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722931825event4-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722931825event4_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722931790event3-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722931790event3_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722931622event1-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722931622event1_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722931612event2-thumb.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/1722931612event2_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932204event10-thumb-3cc447a6.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1722932204event10_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932186event8-thumb-353f0e00.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1722932186event8_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932134event9-thumb-eb2e32a4.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1722932134event9_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
images/news/1722932070event7-thumb-566d130a.jpeg,https://www.smbbmu.edu.pk/beta/uploads/gallery/events/thumbs/1722932070event7_thumb.jpeg,https://www.smbbmu.edu.pk/beta/news/details/smbbmu-observed-youm-e-istehsal-e-kashmir-08-05-2024
