slug,old_category,new_category,title
"result-of-ms-general-surgery-part-ll-postgraduate-degree-clinical-examination-session-march-2023-held-in-september-2024-09-30-2024","circular","examination","Result of  MS General Surgery Part-ll Postgraduate Degree (Clinical) Examination Session March 2023 held in September, 2024."
"result-of-second-professional-pharm-d-second-year-supplementary-examination-session-2020-2021-of-institute-of-pharmacy-smbbmu-larkana-held-in-the-month-of-august-2024-09-05-2024","circular","examination","Result of Second Professional Pharm-D, Second Year (Supplementary) Examination, Session 2020-2021 of Institute of Pharmacy, SMBBMU Larkana, held in the month of August 2024"
"result-of-second-professional-dpt-third-semester-regular-examination-session-2020-2021-08-30-2024","circular","examination","Result of Second Professional DPT, Third Semester Regular Examination Session 2020-2021"
"result-of-fourth-professional-dpt-seventh-semester-regular-examination-session-2019-2020-of-institute-of-physiotherapy-rehabilitation-sciences-iprs-smbbmu-larkana-held-in-the-month-of-june-2024-08-23-2024","circular","examination","Result of Fourth Professional DPT, Seventh Semester Regular Examination Session 2019-2020 of Institute of Physiotherapy & Rehabilitation Sciences (IPRS), SMBBMU Larkana, held in the month of June 2024"
"result-of-diploma-in-medical-jurisprudence-dmj-part-l-08-19-2024","circular","examination","Result of Diploma in Medical Jurisprudence (DMJ) Part-l"
"result-of-ms-and-dgo-gynaecology-obsterics-clinical-examination-08-17-2024","circular","examination","Result of MS and DGO  Gynaecology & Obsterics Clinical Examination"
"time-table-of-mphil-biochemistry-1st-semester-viva-examination-session-march-2024-08-17-2024","circular","examination","Time Table of MPHIL Biochemistry 1st Semester Viva Examination Session March - 2024"
"time-table-of-ms-part-ii-diploma-in-ophthalmology-clinical-examinations-september-2023-08-17-2024","circular","examination","Time Table of MS Part-II & Diploma in Ophthalmology Clinical Examinations September , 2023"
"result-of-third-fourth-and-final-year-mbbs-supplementary-examination-of-gambat-medical-college-gambat-07-29-2024","circular","examination","Result of Third, Fourth and Final Year MBBS (Supplementary) Examination of Gambat Medical College, Gambat"
"schedule-of-clinical-examination-of-md-cardiology-part-ii-clinical-examination-session-september-2023-07-22-2024","circular","examination","Schedule of Clinical Examination of MD Cardiology Part-II Clinical Examination Session September 2023"
"result-of-postgraduate-degree-and-diploma-theory-examinations-september-2023-held-in-the-month-of-may-2024-07-09-2024","circular","examination","Result of Postgraduate Degree and Diploma (Theory) Examinations September, 2023 held in the month of May, 2024."
"time-table-of-mphil-semester-i-theory-examinations-session-march-2024-07-08-2024","circular","examination","Time Table of M.PHIL Semester-I Theory Examinations  Session March 2024"
"notice-for-interview-calls-for-fcps-ii-medicine-candidates-07-03-2024","circular","job","Notice for Interview Calls for FCPS -II (Medicine) Candidates"
"notice-for-interview-calls-for-fcps-ii-gynae-obst-candidates-07-03-2024","circular","job","Notice for Interview Calls for FCPS -II (Gynae. Obst:) Candidates"
"result-of-postgraduate-degree-and-diploma-theory-examinations-september-2023-held-in-the-month-of-may-2024-06-28-2024","circular","examination","Result of Postgraduate Degree and Diploma (Theory) Examinations September, 2023 held in the month of May, 2024"
"result-of-entry-tests-of-mphil-diploma-md-ms-part-i-session-july-2024-06-28-2024","circular","examination","Result of Entry Tests of M.PHIL, Diploma, MD & MS PART-I Session July 2024"
"result-of-postgraduate-degree-and-diploma-theory-examinations-september-2023-held-in-the-month-of-may-2024-06-14-2024","circular","examination","Result of Postgraduate Degree and Diploma (Theory) Examinations September, 2023 held in the month of May, 2024."
"result-of-bs-generic-year-ii-semester-iv-regular-examination-session-2020-21-05-27-2024","circular","examination","Result of BS (GENERIC) Year-II, Semester-IV Regular Examination Session 2020-21"
"circular-for-postgraduate-examinations-of-session-march-2024-for-mphil-physiology-programs-05-24-2024","circular","examination","Circular for Postgraduate Examinations of Session March, 2024 for M.Phil Physiology programs."
"result-of-bsn-post-rn-year-il-semester-iv-regular-examination-session-05-22-2024","circular","examination","Result of BSN (POST-RN) Year-Il, Semester-IV Regular Examination Session"
"result-of-third-professional-pharm-d-third-year-annual-examination-session-2019-2020-of-institute-of-pharmacy-smbbmu-larkana-held-in-the-month-of-march-2024-05-21-2024","circular","examination","Result of Third Professional Pharm-D, Third Year (Annual) Examination, Session 2019-2020 of Institute of Pharmacy, SMBBMU Larkana, held in the month of March 2024"
"result-of-second-professional-pharm-d-second-year-annual-examination-session-2020-2021-of-institute-of-pharmacy-smbbmu-larkana-held-in-the-month-of-march-05-20-2024","circular","examination","Result of Second Professional Pharm-D, Second Year (Annual) Examination, Session 2020-2021 of Institute of Pharmacy, SMBBMU Larkana, held in the month of March"
