slug,old_category,new_category,title
"schedule-for-the-entry-test-of-msc-msph-diploma-mcps-courses-december-2022-at-smbb-medical-university-larkana-12-28-2022","circular","admission","Schedule for the entry test of M.SC, MSPH & Diploma/ MCPS Courses December 2022  at SMBB Medical University Larkana."
"schedule-for-entry-test-for-the-phd-and-mphil-course-december-2022-at-smbb-medical-university-larkana-12-28-2022","circular","admission","Schedule for entry test for the PH.D and MPHIL course December 2022 at SMBB Medical University Larkana"
"schedule-for-entry-test-md-ms-part-i-december-2022-at-smbb-medical-university-larkana-12-28-2022","circular","admission","Schedule for entry test MD / MS PART-I December 2022 at SMBB Medical University Larkana"
"schedule-for-entry-tests-fcps-ii-training-programs-december-2022-at-smbb-medical-university-larkana-12-28-2022","circular","admission","Schedule for entry tests FCPS-II Training Programs December 2022 at SMBB Medical University Larkana"
"result-of-sucessful-candidates-of-chpe-training-12-20-2022","circular","examination","Result of Sucessful Candidates of CHPE Training"
"pplications-on-prescribed-forms-are-invited-from-interested-in-service-private-candidates-for-admissions-to-trainingresidency-programs-as-given-below-for-the-session-january-2023-at-smbbmu-larkana-11-30-2022","circular","admission","Applications on prescribed forms are invited from interested IN-SERVICE / PRIVATE Candidates for admissions to Training/Residency  programs (as given below) for the Session January 2023 at  SMBBMU, Larkana."
"admission-for-certificate-in-health-professions-education-c-hpe-session-2023-11-30-2022","circular","admission","ADMISSION FOR CERTIFICATE IN HEALTH PROFESSIONS EDUCATION (C-HPE) SESSION 2023"
"circular-for-postgraduate-examination-of-session-september-2022-10-13-2022","circular","examination","Circular for Postgraduate Examination of Session September, 2022"
"declaration-of-results-of-postgraduate-examination-held-in-august-2022-09-11-2022","circular","examination","Declaration of Results of Postgraduate Examination held in August 2022"
"declaration-of-results-of-postgraduate-examination-held-in-june-2022-09-11-2022","circular","examination","Declaration of Results of Postgraduate Examination held in June 2022"
"declaration-of-results-of-postgraduate-examination-held-in-june-and-july-2022-08-16-2022","circular","examination","Declaration of Results of Postgraduate Examination held in June and July 2022"
"declaration-of-results-of-postgraduate-examination-held-in-august-2022-08-16-2022","circular","examination","Declaration of Results of Postgraduate Examination held in August 2022"
"announcement-if-result-of-post-graduate-entry-test-june-2022-session-july-2022-at-smbb-medical-university-larkana-07-27-2022","circular","examination","Announcement if Result of Post-Graduate Entry Test June, 2022 (Session July 2022) at SMBB Medical University Larkana"
"call-for-interviews-of-successful-candidates-of-post-graduate-entry-test-june-2022-session-july-2022-at-smbb-medical-university-larkana-07-27-2022","circular","admission","Call for Interviews of Successful candidates of Post-Graduate Entry Test June 2022 (Session July 2022) at SMBB Medical University Larkana"
"announcement-of-entry-test-interview-for-admissions-in-postgraduate-courses-session-july-2022-at-smbb-medical-university-larkana","circular","admission","ANNOUNCEMENT OF ENTRY TEST/INTERVIEW FOR ADMISSIONS IN POSTGRAGUATE COURSES SESSION JULY 2022 AT SMBB MEDICAL UNIVERSITY, LARKANA."
"postponed-of-postgraduate-entry-test-for-the-july-2022-session-smbb-medical-university-larkana-06-27-2022","circular","admission","Postponed of Postgraduate Entry test for the July 2022 Session SMBB Medical University, Larkana."
"admissions-of-postgraduate-courses-for-the-session-of-july-2022-at-smbb-medical-university-larkana-05-30-2022","circular","admission","Admissions of Postgraduate Courses for the session of  July 2022 at SMBB Medical University, Larkana."
"admission-for-certificate-in-health-professions-education-c-hpe-session-2022-04-18-2022","circular","admission","Admission for Certificate in Health Professions Education (C-HPE) Session 2022"
"admissions-to-1st-year-bsngeneric-on-ueap-local-basis-for-session-2021-22-04-18-2022","circular","admission","Admissions To 1st Year BSN(Generic) on UEAP Local Basis for Session 2021-22"
"result-of-postgraduate-examination-held-in-september-2021-03-28-2022","circular","examination","Result of Postgraduate Examination held in September 2021"
"result-of-entry-test-for-admission-into-nursing-programs-at-smbbmu-for-session-2021-22-held-on-06-03-2022-03-08-2022","circular","examination","Result of Entry Test for Admission into Nursing Programs at SMBBMU for Session  2021-22 held on 06-03-2022"
"result-of-postgraduate-degreeclinical-examination-september-2021-held-in-the-month-of-february-2022-03-07-2022","circular","examination","Result of Postgraduate Degree(Clinical) Examination September 2021 held in the month of February 2022"
"answer-key-for-entry-test-held-on-06-03-2022-for-admission-into-bsngeneric-for-session-2021-22-03-06-2022","circular","admission","Answer key for Entry Test held on 06-03-2022 for Admission into BSN(GENERIC) for Session 2021-22"
"answer-key-for-entry-test-held-on-06-03-2022-for-admission-into-bscpostrn-for-session-2021-22-03-06-2022","circular","admission","Answer key for Entry Test held on 06-03-2022 for Admission into BSC(POSTRN) for Session 2021-22"
"result-of-postgraduate-degree-and-diploma-examination-september-2021-02-11-2022","circular","examination","Result of Postgraduate Degree and Diploma Examination September 2021"
"result-of-postgraduate-entry-tests-and-mdms-part-i-examination-december-2021-12-22-2021","circular","examination","Result of Postgraduate Entry Tests and MD/MS Part-I Examination December 2021"
"notice-for-interviews-of-fcps-ii-for-session-january-2021-22-12-22-2021","circular","job","Notice for Interviews of FCPS-II for Session January 2021-22"
"admissions-for-mbbsbds-for-session-2021-22-12-12-2021","circular","admission","Admissions for MBBS/BDS for Session 2021-22"
"postgraduate-admissions-for-session-january-2022-11-15-2021","tender","admission","Postgraduate Admissions for Session January 2022"
"notice-for-candidates-domiciled-in-the-province-of-sindh-to-fill-the-online-form-10-18-2021","admission","circular","Notice for candidates domiciled in the province of Sindh to fill the online form"
"notice-for-interviews-of-successful-candidates-of-different-specialties-for-session-july-2021-06-22-2021","circular","job","Notice for Interviews of Successful Candidates of Different Specialties for Session July 2021"
"result-of-mdms-part-i-and-entry-test-of-mphil-diploma-mcps-and-fcps-ii-for-session-july-2021-06-22-2021","circular","examination","Result of MD/MS Part-I and Entry Test of M.Phil, Diploma, MCPS and FCPS-II for Session July 2021"
"result-of-diploma-in-medical-radio-diagnosisdmrd-part-i-06-03-2021","circular","examination","Result of Diploma in Medical Radio-Diagnosis(DMRD) Part - I"
"time-table-of-entry-test-for-mphil-diploma-mcps-courses-06-03-2021","circular","examination","Time Table of Entry Test for M.PHIL, Diploma & MCPS Courses"
"time-table-of-entry-test-for-mdms-part-i-examination-06-03-2021","circular","examination","Time Table of Entry Test for MD/MS Part-I Examination"
"result-of-fourth-professional-mbbs-fourth-year-annual-examination-04-28-2021","circular","examination","Result of fourth professional MBBS Fourth Year (Annual Examination)"
"result-of-first-professional-bds-first-year-supplementary-examination-04-22-2021","circular","examination","Result of first professional BDS First Year (Supplementary) examination"
"result-of-second-professional-bds-second-year-supplementary-examination-04-22-2021","circular","examination","Result of second professional BDS Second Year (Supplementary) examination"
"result-of-final-professional-mbbs-final-year-annual-examination-session-2015-16-04-19-2021","circular","examination","Result of Final Professional MBBS, Final Year (Annual) Examination, Session 2015-16"
"time-table-for-postgraduate-degree-diploma-theory-examinations-march-2021-04-05-2021","circular","examination","Time table for Postgraduate Degree / Diploma Theory Examinations March 2021"
"provisional-list-of-candidates-who-have-applied-for-admission-to-dptpharm-d-courses-for-session-2020-21-03-03-2021","tender","admission","Provisional List of Candidates who have Applied for Admission to DPT/PHARM-D Courses for Session 2020-21"
"list-of-candidates-who-have-applied-for-admission-to-dpt-pharmd-courses-for-session-2020-21-02-11-2021","circular","admission","List of Candidates who have Applied for Admission to DPT /PHARM.D Courses for Session 2020-21"
"result-of-mid-term-examination-of-ms-gynecology-obsterics-02-05-2021","circular","examination","Result of Mid-Term Examination of MS Gynecology & Obsterics"
"provisional-list-of-candidates-who-applied-for-admission-to-bsc-nursinggeneric-at-smbbmu-larkana-02-02-2021","circular","admission","Provisional list of candidates who applied for admission to BSc Nursing(Generic) at SMBBMU, Larkana"
"schedule-of-interview-for-the-candidates-provisionally-selected-to-1st-year-mbbs-session-2020-21-for-gmmmc-center-01-27-2021","admission","job","Schedule of interview for the candidates provisionally selected to 1st year MBBS session 2020-21 for GMMMC Center"
"schedule-of-interview-for-the-candidates-provisionally-selected-to-1st-year-mbbs-session-2020-21-for-cmc-center-01-21-2021","admission","job","Schedule of interview for the candidates provisionally selected to 1st year MBBS session 2020-21 for CMC Center"
"admissions-for-mbbsbds-for-session-2020-21-01-01-2021","circular","admission","Admissions for MBBS/BDS for Session 2020-21"
"notice-for-interviews-for-successful-postgraduate-students-of-different-specialties-12-18-2020","circular","job","Notice for interviews for successful postgraduate students of different specialties"
"result-of-entry-test-of-diploma-msph-msc-msmd-phd-mphil-and-fcps-ii-12-16-2020","circular","examination","Result of entry test of Diploma, MSPH, MSc. MS/MD  PH.D, MPhil and FCPS-II"
"admissions-for-bs-nursing-generic-bsc-nursing-post-rn-at-benazir-college-of-nursing-smbbmu-larkana-12-11-2020","circular","admission","Admissions for BS Nursing (Generic) & BSc Nursing (Post RN) at Benazir College of Nursing SMBBMU Larkana"
"result-of-bscn-year-ii-semester-iii-regular-examination-session-2017-18-11-16-2020","circular","examination","Result of BscN Year-II Semester-III regular examination Session 2017-18"
"result-of-first-professional-pham-d-first-year-supplementary-examination-session-2017-18-11-14-2020","circular","examination","Result of first professional Pham-D first year (supplementary) examination session 2017-18"
"result-of-second-professional-pham-d-second-year-supplementary-examination-session-2018-19-11-14-2020","circular","examination","Result of second professional Pham-D second year (supplementary) examination session 2018-19"
"result-of-third-professional-bds-third-year-annual-examination-session-2016-17-11-14-2020","circular","examination","Result of third professional BDS third year (Annual) examination session 2016-17"
"notice-for-1st-2nd-3rd-4th-and-5th-professional-mbbs-11-03-2020","tender","circular","Notice for 1st, 2nd, 3rd, 4th and 5th Professional MBBS"
"result-of-first-professional-mbbs-first-year-supplementary-examination-10-16-2020","circular","examination","Result of first professional MBBS First Year (Supplementary) examination"
"result-of-third-professional-mbbs-third-year-supplementary-examination-10-16-2020","circular","examination","Result of Third Professional MBBS Third Year (Supplementary) examination"
"result-of-second-professional-mbbs-second-year-supplementary-examination-10-15-2020","circular","examination","Result of Second Professional MBBS Second Year (Supplementary) examination"
"schedule-for-1st-and-2nd-professional-mbbssupplementary-theory-ospe-examinations-09-15-2020","circular","examination","Schedule for 1st and 2nd Professional MBBS(Supplementary) Theory & OSPE Examinations"
"schedule-for-3rd-and-4th-professional-mbbssupplementary-theory-ospe-examinations-09-15-2020","circular","examination","Schedule for 3rd and 4th Professional MBBS(Supplementary) Theory & OSPE Examinations"
"schedule-for-4th-professional-bds-annual-theory-ospe-osce-examinations-09-15-2020","circular","examination","Schedule for 4th Professional BDS Annual (Theory & OSPE / OSCE) Examinations"
"notice-for-mdms-mid-termpart-ii-final-mphil-diploma-examination-march-2020-08-19-2020","circular","examination","Notice for MD/MS Mid-term/Part-II Final M.Phil & Diploma Examination March 2020"
"result-of-entry-test-of-phd-mphil-msph-mcps-mdms-i-and-diploma-courses-for-session-july-2020-08-05-2020","circular","examination","Result of entry test of PhD, M.Phil, MSPH, MCPS, MD/MS-I and Diploma Courses for session July 2020"
"time-table-for-1st-and-2nd-professional-mbbs-supplementary-examination-08-04-2020","circular","examination","Time table for 1st and 2nd professional MBBS supplementary examination"
"result-of-final-professional-mbbs-supplementary-online-examination-07-25-2020","circular","examination","Result of Final Professional MBBS Supplementary online examination"
"notice-for-supplementary-examination-06-10-2020","circular","examination","Notice for supplementary examination"
"time-table-for-final-professional-mbbs-online-supplementary-examination-06-10-2020","circular","examination","Time table for final professional MBBS online supplementary examination"
"result-of-final-professional-mbbs-final-year-annual-examination-session-2014-15-03-07-2020","circular","examination","Result of Final Professional MBBS Final Year Annual Examination Session 2014-15"
"result-of-first-professional-mbbs-first-year-annual-examination-session-2018-19-02-25-2020","circular","examination","Result of First Professional MBBS First Year Annual Examination Session 2018-19"
"result-of-second-professional-mbbs-second-year-annual-examination-session-2017-18-02-25-2020","circular","examination","Result of Second Professional MBBS Second Year Annual Examination Session 2017-18"
"interview-schedule-for-ehsaas-undergraduate-scholarship-02-21-2020","circular","job","Interview Schedule for Ehsaas Undergraduate Scholarship"
"notice-for-mdms-mid-termpart-ii-final-mphil-diploma-examination-march-2020-02-21-2020","circular","examination","Notice for MD/MS Mid-term/Part-II Final M.Phil & Diploma Examination March 2020"
"result-of-md-internal-medicine-mid-termtheory-examination-september-2019-01-09-2020","circular","examination","Result of MD Internal Medicine Mid-Term(Theory) Examination September 2019"
"result-of-final-professional-bds-examination-supplementary-for-session-2014-15-of-bibi-aseefa-dental-college-larkana-held-in-the-month-of-december-2019-12-31-2019","circular","examination","Result of Final Professional BDS Examination (Supplementary) for Session 2014-15 of Bibi Aseefa Dental College Larkana Held in the Month of December 2019"
"notice-for-day-one-celebration-of-batch-48-at-chandka-medical-college-12-28-2019","admission","circular","Notice for Day One Celebration of Batch 48 at Chandka Medical College"
"result-of-31st-selection-board-held-on-12th-and-13th-november-2019-12-26-2019","circular","examination","Result of 31st Selection Board held on 12th and 13th November 2019"
"result-of-32nd-selection-board-held-on-23rd-and-24th-november-2019-12-26-2019","circular","examination","Result of 32nd Selection Board held on 23rd and 24th November 2019"
"result-of-33rd-selection-board-held-on-7th-and-8th-december-2019-12-26-2019","circular","examination","Result of 33rd Selection Board held on 7th and 8th December 2019"
"result-of-34th-selection-board-held-on-23rd-december-2019-12-26-2019","circular","examination","Result of 34th Selection Board held on 23rd December 2019"
"result-of-entry-test-of-diploma-fcps-ii-training-mdms-part-i-examination-for-session-january-2019-12-17-2019","circular","examination","Result of Entry Test Of Diploma, FCPS-II Training, MD/MS Part-I Examination for Session January 2019"
"admissions-to-1st-year-mbbsbds-on-reserved-seats-of-overseas-pakistanis-11-29-2019","circular","admission","Admissions to 1st Year MBBS/BDS on Reserved Seats of Overseas Pakistani's"
"admissions-to-1st-year-mbbsbds-on-ueap-local-basis-11-29-2019","circular","admission","Admissions to 1st Year MBBS/BDS on UEAP Local Basis"
"provisional-merit-list-of-candidates-who-have-applied-for-admission-into-1st-year-mbbsbds-courses-for-session-2019-20-at-shaheed-mohtarma-benazir-bhutto-medical-university-larkana-11-27-2019","circular","admission","Provisional Merit List of Candidates who have Applied for Admission Into 1ST: Year MBBS/BDS Courses for Session 2019-20 at Shaheed Mohtarma Benazir Bhutto Medical University Larkana"
"notice-for-online-submission-of-form-09-27-2019","admission","circular","Notice for Online Submission of Form"
"notice-for-entry-test-result-09-19-2019","admission","examination","Notice for Entry Test Result"
"result-of-pre-interview-written-test-for-the-post-of-physiotherapistbps-17-held-smbbmu-areeja-campus-on-09-07-2019-07-10-2019","circular","examination","Result of Pre-Interview written test for the post of Physiotherapist(BPS-17) held @SMBBMU Areeja Campus on 09-07-2019"
"answer-key-for-pre-interview-written-test-for-the-post-of-physiotherapistbps-17-held-smbbmu-areeja-campus-on-09-07-2019-07-09-2019","circular","job","Answer key for Pre-Interview written test for the post of Physiotherapist(BPS-17) held @SMBBMU Areeja Campus on 09-07-2019"
"pre-interview-written-test-for-the-post-of-physiotherapistbps-17-07-02-2019","circular","job","Pre-Interview written test for the post of Physiotherapist(BPS-17)"
"result-of-entry-test-of-diploma-fcps-ii-training-mdms-part-i-examination-for-session-july-2019-06-18-2019","circular","examination","Result of Entry Test Of Diploma, FCPS-II Training, MD/MS Part-I Examination for session july 2019"
"result-of-first-professional-mbbs-first-year-supplementary-examination-session-2017-18-06-13-2019","circular","examination","Result of First Professional MBBS First Year Supplementary Examination Session 2017-18"
"result-of-second-professional-mbbs-second-year-supplementary-examination-session-2016-17-06-13-2019","circular","examination","Result of Second Professional MBBS Second Year Supplementary Examination Session 2016-17"
"result-of-third-professional-mbbs-third-year-supplementary-examination-session-2015-16-06-13-2019","circular","examination","Result of Third Professional MBBS Third Year Supplementary Examination Session 2015-16"
"result-of-fourth-professional-mbbs-fourth-year-supplementary-examination-session-2014-15-06-13-2019","circular","examination","Result of Fourth Professional MBBS Fourth Year Supplementary Examination Session 2014-15"
"result-of-fifth-professional-mbbs-fifth-year-supplementary-examination-session-2013-14-06-13-2019","circular","examination","Result of Fifth Professional MBBS Fifth Year Supplementary Examination Session 2013-14"
"result-of-selection-board-of-smbbmu-held-on-11th-may-2019-05-14-2019","circular","examination","Result of selection board of SMBBMU held on 11th May 2019"
"result-of-first-prof-pharm-d-supplementary-examination-session-2016-17-04-29-2019","circular","examination","Result of First Prof. Pharm-D Supplementary Examination Session 2016-17"
"result-of-bsn-generic-first-semester-regular-examination-session-2017-18-04-29-2019","circular","examination","Result of BSN (Generic) First Semester Regular Examination Session 2017-18"
"result-of-bsn-post-rn-first-semester-regular-examination-session-2017-18-04-29-2019","circular","examination","Result of BSN (POST-RN) First Semester Regular Examination Session 2017-18"
"result-of-third-professional-mbbs-examination-session-2015-16-held-in-the-month-of-november-2018-03-20-2019","circular","examination","Result of Third Professional MBBS Examination Session 2015-16 held in the month of November 2018"
"result-of-fourth-professional-mbbs-session-2014-15-held-in-the-month-of-november-2018-03-18-2019","circular","examination","Result of Fourth Professional MBBS Session 2014-15 held in the month of November 2018"
"result-of-second-professional-mbbs-session-2016-17-held-in-the-month-of-november-2018-03-12-2019","circular","examination","Result of Second Professional MBBS Session 2016-17 held in the month of November 2018"
"result-of-first-professional-mbbs-session-2017-18-held-in-the-month-of-november-2018-03-11-2019","circular","examination","Result of First Professional MBBS Session 2017-18 held in the month of November 2018"
"result-of-first-year-pharm-d-examination-session-2016-17-01-14-2019","circular","examination","Result of First Year Pharm-D Examination Session 2016-17"
"notice-day-one-celebration-amended-12-24-2018","admission","circular","Notice for Day One Celebration (Amended)"
"result-of-mdms-part-i-examination-december-2018-12-17-2018","circular","examination","Result of MD/MS Part-I Examination December 2018"
"entry-test-result-of-fcps-ii-mphil-diploma-courses-for-session-january-2019-12-17-2018","circular","examination","Entry Test Result of FCPS-II, M.PHIL & Diploma Courses for session January 2019"
"schedule-of-interview-for-the-candidates-provisionally-selected-to-1st-year-mbbs-course-session-2018-19-at-cmc-smbbmu-larkana-11-30-2018","admission","job","Schedul of Interview for The Candiates Provisionally Selected to 1ST YEAR MBBS Course Session 2018-19 at CMC SMBBMU LARKANA"
"provisional-result-uploaded-with-objection-form-last-date-of-submission-of-objection-is-3rd-nov-2018-11-01-2018","admission","examination","Provisional Result uploaded with objection form. Last date of submission of Objection is  3rd Nov 2018"
"result-of-final-professional-bds-annual-examination-session-2013-14-11-01-2018","circular","examination","Result of Final Professional BDS Annual Examination Session 2013-14"
"provisional-eligibility-list-of-candidates-gmmmc-sukkur-who-have-applied-for-admission-into-1st-year-mbbs-bds-courses-for-session-2018-19-10-24-2018","circular","admission","Provisional Eligibility list of candidates GMMMC SUKKUR who have applied for admission into 1st: year MBBS /BDS courses for session 2018-19"
"result-of-third-professional-bds-supplementary-examination-10-15-2018","circular","examination","Result of Third Professional BDS (Supplementary Examination)"
"overseas-application-form-notice-and-processing-fee-voucher-10-10-2018","admission","circular","Overseas Application form, Notice and processing fee voucher"
"notice-for-fill-online-form-for-smbbmu-tagged-districts-candidates-10-04-2018","admission","circular","Notice for fill online form for SMBBMU tagged districts candidates"
"result-of-diploma-in-clinical-neurology-dcn-clinical-examination-march-2018-09-24-2018","circular","examination","Result of Diploma in clinical neurology (DCN) clinical examination march 2018"
