file,original_url,source_page
pdfs/form-16700505710.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/Form_16700505710.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/notice-of-workshops-16541080670.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/Notice+of+Workshops_16541080670.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/osce-template-16795973341.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/osce-template_16795973341.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/refund-claim-form-ok-16029354070.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/Refund+Claim+form+ok_16029354070.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/mbbs-learning-outcome-16795977050.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/MBBS-learning-Outcome_16795977050.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/workshop-registration-form-16043905590.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/workshop+registration+form_16043905590.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/bds-learning-outcomes-16795978090.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/BDS-Learning-outcomes_16795978090.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/bcq-submission-proforma-16144163370.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/BCQ+SUBMISSION+PROFORMA_16144163370.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/dpt-learning-outcomes-16795978820.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/DPT-LEARNING-OUTCOMES_16795978820.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/pharmacy-learning-outcomes-16795978821.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/Pharmacy-Learning-outcomes_16795978821.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/bcon-learning-outcome-bsn-bscn-postrn-16795979310.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/BCON++Learning+Outcome-BSN-+BScN-PostRN_16795979310.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/ospe-template-16795973340.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/ospe-template_16795973340.pdf,https://www.smbbmu.edu.pk/beta/dme
pdfs/allotment-policy.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/allotment-policy.pdf,https://www.smbbmu.edu.pk/beta/policies
pdfs/smbbmu-sc-policy-16841259850.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/SMBBMU+SC+policy_16841259850.pdf,https://www.smbbmu.edu.pk/beta/policies
pdfs/smbbmul-form-for-p-15729553181.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/SMBBMUL-Form-for-P_15729553181.pdf,https://www.smbbmu.edu.pk/beta/downloads
pdfs/challan-of-controller-postgraduate-15729553180.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/Challan+of+Controller+Postgraduate_15729553180.pdf,https://www.smbbmu.edu.pk/beta/downloads
pdfs/log-book-medicine.pdf,https://www.smbbmu.edu.pk/beta/news/downloadFile/log-book-medicine.pdf,https://www.smbbmu.edu.pk/beta/downloads
